C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.14CEST22:27:39

 IdentList
----------

 # ;typed ident;            identifier             ;typ;             all types             ;     coord1 (ICRS,J2000/2000)      ;      coord4 (Gal,J2000/2000)      ;        pm         ;  plx  ; radvel  ;  redshift  ;    cz    ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;morph. type;#bib;#not
---;-----------;-----------------------------------;---;-----------------------------------;-----------------------------------;-----------------------------------;-------------------;-------;---------;------------;----------;------;------;------;------;------;---------------;-----------;----;----
31 ;HD 133131  ;HD 133131                          ;** ;**,*,PM*                           ;225.89919378 -27.84098668          ;335.53917293 +26.53584449          ; 156.88 -136.07    ;  22.71;-16.30   ;-0.000054   ;-16.30    ;     ~; 8.6  ; 8.7  ;     ~;     ~;G2V+G2V        ;~ ~ ~      ;  35;   0
32 ;HD 152581  ;HD 152581                          ;*  ;*,IR                               ;253.4315940619246 +11.9737477542222;030.6116349220149 +31.4908159945970; 11.596 -15.086    ;   6.00;3.97     ;0.000013    ;3.97      ;     ~; 9.251; 8.35 ;     ~;     ~;K0             ;~ ~ ~      ;  25;   1
33 ;HD 13445   ;HD 13445                           ;PM*;**,**,*,PM*,PM*,IR,X               ;032.6079960729338 -50.8237408965997;275.9263553152115 -61.9609660743616;2124.853 638.092   ;  92.70;55.23    ;0.000184    ;55.24     ;     ~; 6.945; 6.117;     ~;     ~;K1.5V          ;~ ~ ~      ; 415;   1
34 ;HD 102365  ;HD 102365                          ;PM*;**,*,PM*,PM*,IR,UV                 ;176.6294666332125 -40.5003555489850;289.7990721764299 +20.7100274058767;-1530.558 402.910  ; 107.62;16.95    ;0.000057    ;16.95     ; 5.65 ; 5.55 ; 4.88 ; 4.35 ; 3.97 ;G2V            ;~ ~ ~      ; 288;   1
35 ;HD 4208    ;HD 4208                            ;PM*;*,PM*,PM*,IR                       ;011.1110447751571 -26.5156828282897;053.9702556811758 -88.3237611274909;313.484 149.500    ;  29.22;56.74    ;0.000189    ;56.75     ;     ~; 8.46 ; 7.79 ;     ~;     ~;G7VFe-1CH-0.5  ;~ ~ ~      ; 164;   1
36 ;HD 114729  ;HD 114729                          ;PM*;**,*,PM*,PM*,IR                    ;198.1844145440904 -31.8733492966778;308.1952231102131 +30.7806302529302;-200.158 -308.042  ;  26.42;64.92    ;0.000217    ;64.93     ;     ~; 7.31 ; 6.69 ;     ~;     ~;G0V            ;~ ~ ~      ; 157;   1
37 ;HIP 109384 ;BD+70 1218                         ;PM*;*,PM*,PM*,IR                       ;332.4058316068449 +71.3143318572436;110.6426538353768 +12.4145961262355;233.675 -87.308    ;  16.93;-63.75   ;-0.000213   ;-63.74    ;     ~;     ~;     ~; 9.1  ;     ~;G5             ;~ ~ ~      ;  27;   0
38 ;HD 154857  ;HD 154857                          ;PM*;*,PM*,IR                           ;257.8155074882696 -56.6807973992480;333.2882269886432 -10.0253579834691; 87.585 -55.891    ;  15.73;28.09    ;0.000094    ;28.09     ;     ~; 7.93 ; 7.24 ;     ~;     ~;G5V            ;~ ~ ~      ;  81;   1
39 ;HD 238914  ;HD 238914                          ;*  ;*,IR                               ;279.5842429671824 +59.2538597566020;088.7511569281312 +24.7011939713124;   -3.894 5.151    ;   1.90;-8.21    ;-0.000027   ;-8.21     ;     ~; 9.81 ; 8.79 ;     ~;     ~;K7             ;~ ~ ~      ;  10;   0
40 ;HD 82886   ;HD 82886                           ;*  ;*,IR                               ;143.9382668782737 +34.7807424520844;190.0274906356873 +47.7686436332285; 16.359 -35.369    ;   7.84;12.73    ;0.000042    ;12.73     ;     ~; 8.493; 7.63 ;     ~;     ~;G0             ;~ ~ ~      ;  23;   1
