recno,Name,FWHM,l_A(Li),A(Li),e_A(Li),dA(Li),Cat,_RA,_DE
68,"HD 114386",0.14,<,0.27,,,1,197.66593,-35.05478
69,"HD 114762",0.211, ,1.94,0.04,0.11,1,198.08226,17.51712
70,"HD 114783",0.14,<,-0.45,,,2,198.18244,-2.26504
71,"HD 114729",0.181, ,1.88,0.03,0.11,2,198.1844,-31.87335
72,"HD 117207",0.155,<,0.64,,,2,202.33797,-35.571
73,"HD 117618",0.186, ,2.14,0.03,0.11,2,203.10648,-47.27136
74,"HD 120136",0.411,<,1.44,,,2,206.8156,17.4569
75,"HD 121504",0.187, ,2.47,0.02,0.1,1,209.32183,-56.04004
76,"HD 125612",0.186, ,2.49,0.04,0.11,1,215.22299,-17.48153
77,"HD 128311",0.145,<,0.13,,,2,219.00233,9.74652
78,"HD 130322",0.169,<,0.38,,,1,221.88635,-0.28148
79,"HD 134987",0.17,<,0.57,,,2,228.36945,-25.30935
80,"HD 330075",0.164,<,0.41,,,1,237.40705,-49.96352
81,"HD 141937",0.157, ,2.26,0.03,0.11,1,238.07311,-18.43607
82,"HD 142415",0.189, ,2.03,0.06,0.12,1,239.41996,-60.20026
83,"HD 142022A",0.155,<,0.16,,,1,242.56263,-84.23161
84,"HD 147513",0.16, ,2.0,0.04,0.11,1,246.00537,-39.19298
85,"HD 149143",0.208, ,1.79,0.06,0.12,1,248.21271,2.08483
86,"HD 160691",0.165,<,0.64,,,2,266.03625,-51.83405
87,"HD 162020",0.219,<,0.1,,,1,267.65981,-40.31835
88,"HD 164922",0.145,<,0.49,,,2,270.62859,26.313
89,"HD 168443",0.152,<,0.49,,,2,275.01638,-9.59572
90,"HD 168746",0.141,<,0.51,,,2,275.45743,-11.92268
91,"HD 169830",0.254,<,0.68,,,1,276.95618,-29.81686
92,"HD 170469",0.143, ,1.13,0.27,0.29,2,277.29575,11.6955
93,"HD 179949",0.292, ,2.53,0.03,0.11,2,288.88846,-24.17935
94,"HD 181433",0.167, ,0.76,0.14,0.21,1,291.28987,-66.4688
95,"HD 183263",0.172, ,2.27,0.03,0.11,2,292.10238,8.35805
96,"HD 231701",0.205, ,2.59,0.03,0.11,1,293.01734,16.47429
97,"HD 187085",0.208, ,2.62,0.03,0.11,2,297.39153,-37.78055
98,"HD 189733",0.165,<,0.08,,,1,300.18208,22.71086
99,"HD 192263",0.185,<,-0.14,,,2,303.49936,-0.86687
100,"HD 195019",0.168, ,1.45,0.12,0.16,2,307.07765,18.76949
101,"WASP2",0.15,<,0.58,,,1,307.72554,6.42955
102,"HD 196050",0.189, ,2.16,0.04,0.11,2,309.46546,-60.63449
103,"HD 196885",0.27, ,2.64,0.03,0.11,2,309.96615,11.24965
104,"HD 202206",0.145, ,1.37,0.11,0.15,1,318.7407,-20.78921
105,"HD 208487",0.179, ,2.58,0.03,0.11,2,329.3327,-37.76362
106,"HD 209458",0.187, ,2.65,0.02,0.1,2,330.79488,18.88432
107,"HD 210277",0.195,<,0.42,,,2,332.37444,-7.54865
108,"HD 212301",0.236, ,2.75,0.03,0.11,1,336.87883,-77.71792
109,"HD 213240",0.192, ,2.43,0.03,0.11,1,337.75153,-49.43327
110,"HD 216435",0.228, ,2.65,0.02,0.1,2,343.40805,-48.59829
111,"HD 216437",0.185, ,1.93,0.04,0.11,2,343.66451,-70.07371
112,"HD 216770",0.143,<,0.63,,,1,343.97378,-26.65876
113,"HD 217014",0.162, ,1.24,0.19,0.22,2,344.36658,20.76883
114,"HD 217107",0.159,<,0.53,,,2,344.56475,-2.39538
115,"HD 219828",0.172, ,2.27,0.03,0.11,1,349.69473,18.64572
116,"HD 221287",0.213, ,2.8,0.02,0.1,1,352.83474,-58.20973
117,"HD 222582",0.14, ,1.09,0.22,0.24,2,355.46471,-5.98576
118,"HD 1581",0.211, ,2.25,0.05,0.11,2,5.01775,-64.87479
119,"HD 1835",0.237, ,2.55,0.02,0.1,2,5.71579,-12.20944
120,"HD 3823",0.165, ,2.36,0.02,0.1,2,10.10696,-59.4546
121,"HD 4628",0.175,<,0.01,,,2,12.09574,5.28061
122,"HD 7199",0.14,<,0.35,,,2,17.69675,-66.18817
123,"HD 7693",0.2,<,0.33,,,2,18.75414,-68.81891
124,"HD 7570",0.211, ,2.86,0.02,0.1,2,18.79634,-45.53167
125,"HD 10180",0.147, ,1.79,0.08,0.13,2,24.47324,-60.51153
126,"HD 10476",0.14,<,0.28,,,2,25.62401,20.2685
127,"HD 10700",0.173,<,0.06,,,2,26.01701,-15.93748
128,"HD 11112",0.178, ,2.44,0.02,0.1,2,27.08577,-41.49507
129,"HD 12387",0.14,<,0.56,,,2,30.13386,-40.73125
130,"HD 16160",0.14,<,0.16,,,2,39.02039,6.88687
131,"HD 17925",0.19, ,2.66,0.02,0.1,2,43.13387,-12.76971
