recno,Star,S/N,pop,[CuI/Fe],e_[CuI/Fe],o_[CuI/Fe],[ZnI/Fe],e_[ZnI/Fe],o_[ZnI/Fe],[SrI/Fe],e_[SrI/Fe],o_[SrI/Fe],[YII/Fe],e_[YII/Fe],o_[YII/Fe],[ZrI/Fe],e_[ZrI/Fe],o_[ZrI/Fe],[ZrII/Fe],e_[ZrII/Fe],o_[ZrII/Fe],[BaII/Fe],e_[BaII/Fe],o_[BaII/Fe],[CeII/Fe],e_[CeII/Fe],o_[CeII/Fe],[NdII/Fe],e_[NdII/Fe],o_[NdII/Fe],[EuII/Fe],e_[EuII/Fe],o_[EuII/Fe],[AlI/Fe],e_[AlI/Fe],o_[AlI/Fe],[MgI/Fe],e_[MgI/Fe],o_[MgI/Fe],[SiI/Fe],e_[SiI/Fe],o_[SiI/Fe],[CaI/Fe],e_[CaI/Fe],o_[CaI/Fe],[TiI/Fe],e_[TiI/Fe],o_[TiI/Fe],[TiII/Fe],e_[TiII/Fe],o_[TiII/Fe]
280,"   HD90812",346," thin",0.04,0.02,3,0.05,0.04,3,0.03,0.05,1,-0.08,0.05,6,-0.04,0.07,3,-0.02,0.08,1,-0.03,0.04,3,0.02,0.04,2,0.08,0.05,2,0.1,0.13,1,0.13,0.01,2,0.1,0.05,3,0.09,0.02,14,0.09,0.08,12,0.11,0.03,22,0.05,0.04,5
281,"  HIP88316",85," high",0.14,0.02,3,0.01,0.05,3,0.09,0.12,1,-0.12,0.06,6,-0.07,0.11,3,0.03,0.08,1,-0.05,0.04,3,0.09,0.06,2,0.13,0.04,2,,,0,0.21,0.03,2,0.01,0.09,3,0.09,0.03,14,0.02,0.15,12,0.19,0.05,22,0.08,0.08,5
282,"  HD119782",479," thin",0.02,0.03,3,0.05,0.04,3,0.18,0.08,1,0.05,0.05,6,0.0,0.1,3,0.08,0.08,1,0.06,0.04,3,0.12,0.05,2,0.12,0.04,2,0.08,0.09,1,0.04,0.02,2,-0.02,0.04,3,0.05,0.05,14,0.03,0.09,12,0.06,0.04,22,0.02,0.03,5
283,"   HD64640",98," thin",0.13,0.07,3,0.01,0.08,3,0.09,0.17,1,-0.08,0.12,6,-0.14,0.16,3,0.01,0.11,1,-0.14,0.11,3,-0.2,0.1,2,-0.17,0.19,2,,,0,0.08,0.0,2,0.0,0.09,3,0.05,0.06,14,-0.04,0.08,12,0.03,0.05,22,-0.05,0.05,5
284,"  HD157668",113," thin",-0.01,0.04,3,0.0,0.08,3,0.17,0.09,1,-0.02,0.05,6,0.11,0.09,3,0.09,0.08,1,0.1,0.03,3,0.16,0.04,2,0.18,0.04,2,,,0,0.04,0.02,2,0.05,0.03,3,0.07,0.06,14,0.1,0.09,12,0.1,0.03,22,0.04,0.04,5
285,"     HD283",277," thin",0.0,0.02,3,0.04,0.04,3,-0.05,0.05,1,-0.13,0.09,6,-0.01,0.09,3,0.05,0.08,1,-0.09,0.03,3,0.05,0.06,2,0.16,0.11,2,,,0,0.16,0.01,2,0.13,0.06,3,0.1,0.02,14,0.13,0.1,12,0.19,0.04,22,0.11,0.04,5
286,"   HD85390",794," thin",0.06,0.04,3,-0.01,0.06,3,0.11,0.09,1,-0.05,0.07,6,-0.03,0.1,3,-0.04,0.09,1,-0.07,0.05,3,0.03,0.05,2,0.0,0.09,2,0.07,0.07,1,0.09,0.01,2,0.03,0.04,3,0.07,0.05,14,0.0,0.08,12,0.09,0.03,22,0.02,0.02,5
287,"    HD9796",368," thin",0.02,0.05,3,0.13,0.08,3,0.1,0.07,1,-0.05,0.04,6,-0.08,0.18,3,-0.03,0.08,1,-0.01,0.05,3,0.05,0.03,2,0.11,0.05,2,0.14,0.12,1,0.11,0.03,2,0.07,0.04,3,0.08,0.03,14,0.14,0.1,12,0.1,0.04,22,0.02,0.04,5
288," BD-160308",168," thin",0.02,0.02,3,0.09,0.06,3,0.03,0.07,1,-0.08,0.05,6,0.0,0.08,3,0.09,0.08,1,0.02,0.03,3,0.16,0.03,2,0.04,0.03,2,,,0,0.18,0.02,2,0.06,0.03,3,0.08,0.03,13,0.06,0.08,12,0.14,0.04,22,0.1,0.03,5
289,"  HD224789",835," thin",0.0,0.03,3,0.05,0.06,3,0.12,0.08,1,0.01,0.06,6,0.08,0.1,3,0.03,0.08,1,0.07,0.04,3,0.07,0.07,2,0.05,0.09,2,0.12,0.06,1,0.03,0.01,2,0.0,0.02,3,0.08,0.06,14,0.06,0.14,12,0.08,0.04,22,0.0,0.05,5
290,"  HD224047",124," thin",0.0,0.04,3,-0.05,0.05,3,0.17,0.09,1,0.02,0.06,6,-0.03,0.09,3,0.17,0.08,1,0.03,0.03,3,0.12,0.05,2,0.14,0.04,2,,,0,0.03,0.02,2,-0.06,0.03,3,0.03,0.03,14,0.06,0.11,12,0.07,0.04,22,0.01,0.04,5
291,"   HD30858",62," thin",0.01,0.05,3,0.02,0.06,3,0.2,0.14,1,0.05,0.04,6,0.2,0.1,3,0.17,0.08,1,0.12,0.06,3,0.18,0.12,2,0.15,0.06,2,,,0,0.03,0.03,2,-0.07,0.03,3,0.02,0.05,13,0.02,0.09,12,0.08,0.05,22,0.02,0.07,5
292,"  HD208272",812," thin",-0.02,0.04,3,0.02,0.04,3,0.18,0.09,1,0.09,0.06,6,0.1,0.09,3,0.08,0.08,1,0.13,0.05,3,0.15,0.04,2,0.08,0.06,2,0.1,0.06,1,0.01,0.01,2,0.05,0.07,3,0.03,0.04,14,0.09,0.09,12,0.06,0.04,22,0.02,0.03,5
293,"  HD156423",143," thin",0.01,0.06,3,0.02,0.08,3,0.09,0.08,1,-0.13,0.08,6,0.06,0.08,3,0.11,0.08,1,-0.04,0.04,3,0.14,0.1,2,0.18,0.08,2,,,0,0.18,0.0,2,0.05,0.08,3,0.09,0.02,14,0.19,0.05,11,0.24,0.03,22,0.12,0.04,5
294,"    HD2638",325," thin",0.09,0.06,3,-0.08,0.11,3,0.1,0.15,1,-0.02,0.13,6,0.01,0.15,3,0.0,0.1,1,-0.08,0.11,3,0.05,0.08,2,-0.05,0.12,2,0.08,0.11,1,0.06,0.02,2,-0.06,0.03,3,0.06,0.05,14,-0.02,0.07,12,0.06,0.07,22,0.02,0.03,5
295,"  HD176157",235," thin",0.02,0.02,3,0.04,0.02,3,0.17,0.06,1,-0.02,0.04,6,0.06,0.09,3,0.01,0.08,1,0.02,0.03,3,0.03,0.04,2,0.09,0.04,2,0.04,0.15,1,0.07,0.0,2,0.08,0.05,3,0.05,0.03,14,0.09,0.09,12,0.1,0.04,22,0.0,0.05,5
296,"  HD203897",180," thin",-0.06,0.07,3,-0.05,0.05,3,0.18,0.07,1,0.05,0.05,6,0.09,0.08,3,0.12,0.08,1,0.05,0.03,3,0.2,0.05,2,0.16,0.03,2,,,0,0.03,0.0,2,0.0,0.05,3,0.03,0.02,14,0.07,0.08,12,0.1,0.04,22,0.04,0.02,5
297,"  HIP41659",286,"thick",0.06,0.02,3,0.16,0.03,3,0.07,0.06,1,-0.12,0.07,6,0.14,0.12,2,0.06,0.09,1,-0.19,0.05,3,-0.12,0.08,2,0.11,0.06,2,0.25,0.16,1,0.38,0.01,2,0.3,0.07,3,0.19,0.03,14,0.21,0.1,12,0.38,0.05,22,0.25,0.04,5
298,"   HD39194",958,"thick",0.05,0.04,4,0.17,0.03,3,0.06,0.04,1,-0.03,0.08,6,0.12,0.07,3,0.12,0.07,1,-0.06,0.03,3,0.04,0.04,2,0.22,0.04,2,0.4,0.05,1,0.3,0.01,2,0.25,0.1,3,0.19,0.01,14,0.22,0.06,12,0.36,0.05,22,0.26,0.04,5
299,"  HD139536",151," thin",0.01,0.07,4,-0.17,0.09,3,0.02,0.17,1,-0.04,0.17,6,0.27,0.16,2,0.22,0.13,1,-0.05,0.11,3,0.12,0.21,2,0.3,0.08,2,,,0,0.08,0.03,2,-0.11,0.05,3,0.02,0.06,14,0.1,0.1,12,0.14,0.19,22,0.18,0.23,5
300,"    HD8912",218," thin",0.01,0.03,4,0.07,0.06,3,0.23,0.09,1,0.09,0.05,6,0.11,0.12,3,0.06,0.08,1,0.06,0.05,3,0.12,0.04,2,0.1,0.05,2,0.11,0.14,1,0.04,0.01,2,0.01,0.03,3,0.03,0.03,14,0.0,0.1,12,0.07,0.04,22,0.02,0.02,5
301,"   HD25565",145," thin",0.04,0.07,4,-0.09,0.07,3,0.12,0.14,1,-0.07,0.07,6,0.12,0.1,3,-0.01,0.08,1,-0.05,0.05,3,0.04,0.05,2,0.05,0.09,2,,,0,0.08,0.01,2,0.05,0.04,3,0.01,0.03,14,0.02,0.11,12,0.09,0.05,22,0.02,0.07,5
302,"  HD116284",141," thin",0.09,0.02,4,0.03,0.03,3,-0.06,0.08,1,-0.03,0.05,6,-0.05,0.1,3,-0.06,0.07,1,-0.07,0.02,3,0.08,0.07,2,0.07,0.04,2,,,0,0.11,0.01,2,0.03,0.06,3,0.03,0.03,14,0.04,0.07,12,0.07,0.03,22,0.09,0.03,5
303,"  HD192031",68,"thick",-0.15,0.03,3,0.14,0.04,3,0.15,0.16,1,0.11,0.09,6,0.33,0.09,3,0.34,0.08,1,0.05,0.1,3,0.23,0.08,2,0.08,0.05,2,,,0,0.24,0.03,2,0.28,0.03,3,0.25,0.04,13,0.26,0.08,12,0.34,0.06,22,0.26,0.03,5
304,"   HD68607",775," thin",0.05,0.05,4,-0.1,0.07,3,0.17,0.08,1,-0.02,0.06,6,0.09,0.11,3,0.01,0.08,1,-0.05,0.05,3,0.08,0.04,2,0.0,0.08,2,0.1,0.05,1,0.05,0.01,2,0.04,0.03,3,0.04,0.04,14,0.03,0.11,12,0.08,0.04,22,0.02,0.04,5
305,"  HD174545",303," thin",0.21,0.05,4,0.16,0.09,3,0.03,0.13,1,-0.11,0.12,6,0.04,0.14,3,-0.03,0.09,1,-0.17,0.1,3,0.09,0.05,2,0.0,0.09,2,0.08,0.1,1,0.11,0.03,2,0.04,0.02,3,0.07,0.08,14,-0.05,0.09,12,0.07,0.04,22,0.04,0.05,5
306,"  HD216215",103," thin",-0.01,0.06,4,0.0,0.05,3,0.16,0.1,1,0.01,0.09,6,0.16,0.09,3,0.11,0.08,1,0.07,0.08,3,0.09,0.07,2,0.15,0.05,2,,,0,0.12,0.1,2,-0.03,0.06,3,0.01,0.02,14,0.11,0.06,12,0.12,0.03,22,0.01,0.04,5
307,"   HD10166",118," thin",-0.04,0.03,4,-0.03,0.06,3,0.05,0.09,1,-0.05,0.06,6,0.13,0.1,3,0.17,0.08,1,0.07,0.07,3,0.12,0.04,2,0.17,0.03,2,,,0,0.11,0.0,2,0.12,0.07,3,0.05,0.03,14,0.07,0.07,12,0.15,0.04,22,0.07,0.03,5
308,"  HD138799",42," thin",0.1,0.07,4,0.08,0.03,3,0.2,0.22,1,-0.06,0.08,6,0.05,0.11,3,0.13,0.08,1,-0.07,0.05,3,-0.06,0.08,2,-0.01,0.06,2,,,0,0.01,0.03,2,-0.05,0.1,3,0.01,0.02,14,0.06,0.08,12,0.06,0.05,22,0.04,0.02,5
309,"   HD66040",143," thin",0.18,0.11,4,0.06,0.14,3,0.07,0.16,1,-0.06,0.13,6,0.0,0.17,3,-0.05,0.15,1,-0.17,0.11,3,0.09,0.14,2,-0.14,0.14,2,,,0,0.1,0.04,2,0.0,0.02,3,0.03,0.06,14,-0.09,0.09,12,0.06,0.05,22,-0.02,0.03,5
310,"   HD80883",533," thin",-0.04,0.06,4,0.0,0.03,3,0.11,0.06,1,0.01,0.05,6,0.06,0.11,3,0.08,0.08,1,0.06,0.04,3,0.14,0.04,2,0.19,0.03,2,0.03,0.08,1,0.04,0.02,2,0.02,0.05,3,0.04,0.02,14,0.08,0.06,12,0.09,0.04,22,0.01,0.01,5
311,"  HIP15587",68," thin",0.03,0.06,4,0.06,0.07,3,0.14,0.13,1,-0.04,0.07,6,0.03,0.1,3,0.11,0.08,1,-0.02,0.05,3,0.0,0.06,2,0.11,0.05,2,,,0,0.06,0.02,2,0.03,0.09,3,0.02,0.03,14,0.03,0.07,12,0.09,0.04,22,0.01,0.01,5
312,"  HD137388",243," thin",0.15,0.07,4,0.01,0.08,3,0.01,0.13,1,-0.12,0.09,6,0.05,0.16,3,-0.04,0.09,1,-0.21,0.12,3,0.04,0.05,2,-0.03,0.14,2,0.05,0.13,1,0.12,0.04,2,-0.02,0.04,3,0.08,0.05,14,-0.04,0.06,12,0.09,0.05,22,0.01,0.03,5
313,"   HD18719",477," thin",-0.04,0.03,4,0.0,0.05,3,0.14,0.06,1,-0.01,0.05,6,0.09,0.14,3,0.02,0.08,1,0.04,0.04,3,0.09,0.03,2,0.06,0.04,2,0.03,0.09,1,0.02,0.03,2,-0.04,0.02,3,0.03,0.05,14,0.06,0.09,12,0.05,0.04,22,-0.02,0.01,5
314,"   HD25061",182," thin",0.02,0.07,4,0.05,0.06,3,0.06,0.12,1,-0.01,0.06,6,0.05,0.09,3,0.02,0.08,1,-0.06,0.07,3,-0.03,0.04,2,-0.04,0.03,2,,,0,0.05,0.01,2,-0.03,0.01,3,0.04,0.03,14,0.01,0.14,12,0.03,0.03,22,-0.01,0.03,5
315,"   HD72673",2021," thin",0.04,0.05,4,0.04,0.03,3,0.04,0.04,1,-0.07,0.04,6,0.08,0.08,2,0.01,0.07,1,-0.02,0.03,3,0.06,0.02,2,0.1,0.04,2,0.19,0.03,1,0.13,0.0,2,0.1,0.03,3,0.07,0.02,14,0.1,0.07,12,0.16,0.03,22,0.05,0.02,5
316,"  HIP78242",137," thin",0.06,0.05,4,-0.09,0.06,3,0.11,0.09,1,-0.07,0.04,5,0.04,0.12,3,-0.08,0.08,1,-0.03,0.04,3,-0.01,0.09,2,-0.07,0.04,2,,,0,0.06,0.01,2,-0.02,0.02,3,0.01,0.03,14,0.02,0.07,12,0.1,0.05,22,-0.03,0.04,5
317,"  HD117359",130," thin",0.05,0.04,4,0.04,0.03,3,0.0,0.09,1,-0.09,0.05,6,0.06,0.1,2,0.04,0.08,1,-0.06,0.04,3,0.14,0.06,2,0.01,0.04,2,,,0,0.07,0.0,2,0.04,0.06,3,0.04,0.05,14,0.03,0.08,12,0.09,0.03,22,0.03,0.03,5
318,"  HD194717",34," thin",0.15,0.11,4,0.19,0.07,3,-0.2,0.27,1,0.02,0.15,6,0.01,0.19,2,0.39,0.08,1,0.01,0.05,3,-0.1,0.08,2,,,0,,,0,-0.01,0.06,2,0.08,0.01,3,0.0,0.08,14,0.01,0.08,12,0.03,0.09,22,0.1,0.12,5
319,"  HD103197",355," thin",0.16,0.05,4,-0.05,0.07,3,0.0,0.13,1,-0.1,0.12,6,0.02,0.14,3,-0.06,0.21,1,-0.16,0.12,3,0.09,0.1,2,0.02,0.09,2,-0.08,0.09,1,0.03,0.0,2,0.01,0.03,3,0.02,0.05,14,-0.08,0.09,12,0.07,0.05,22,0.02,0.03,5
320,"  HD122308",97," thin",-0.01,0.05,4,-0.03,0.02,3,0.16,0.1,1,-0.03,0.09,6,0.2,0.09,3,0.12,0.07,1,0.09,0.03,3,0.14,0.07,2,0.17,0.03,2,,,0,0.1,0.03,2,0.0,0.06,3,0.05,0.07,14,0.1,0.07,12,0.11,0.03,22,0.02,0.04,5
321,"  HD137676",147,"thick",0.03,0.03,4,0.15,0.03,3,-0.05,0.07,1,0.02,0.04,6,0.1,0.15,2,0.12,0.07,1,-0.03,0.02,3,0.02,0.02,2,0.12,0.01,2,,,0,0.41,0.13,2,0.32,0.06,3,0.19,0.02,14,0.15,0.06,12,0.27,0.04,22,0.26,0.03,5
322,"   HD19230",262," thin",-0.03,0.09,4,-0.04,0.11,3,0.16,0.08,1,-0.04,0.05,6,0.08,0.18,2,0.08,0.07,1,0.1,0.07,3,0.22,0.04,2,0.37,0.14,2,,,0,0.11,0.05,2,0.08,0.06,3,0.05,0.04,14,0.07,0.09,12,0.13,0.1,22,0.06,0.04,5
323,"   HD13060",431," thin",0.02,0.04,4,-0.14,0.05,3,0.13,0.12,1,-0.06,0.06,6,0.09,0.1,3,-0.03,0.08,1,-0.07,0.06,3,0.06,0.07,2,0.0,0.06,2,0.01,0.08,1,0.1,0.01,2,0.01,0.02,3,0.02,0.04,14,0.04,0.08,12,0.09,0.03,22,0.01,0.05,5
324,"   HD15612",244," thin",-0.05,0.06,4,-0.09,0.03,3,0.13,0.07,1,0.04,0.05,6,0.13,0.11,3,0.12,0.08,1,0.09,0.03,3,0.17,0.03,2,0.09,0.05,2,0.05,0.15,1,0.03,0.0,2,-0.03,0.02,3,0.03,0.06,14,0.05,0.08,12,0.08,0.04,22,0.01,0.03,5
325,"   HD20781",412," thin",0.01,0.02,4,-0.05,0.03,3,-0.05,0.05,1,-0.15,0.05,6,-0.08,0.1,3,-0.11,0.07,1,-0.12,0.05,3,0.03,0.03,2,0.08,0.02,2,0.0,0.1,1,0.07,0.01,2,0.02,0.04,3,0.03,0.02,14,0.06,0.08,12,0.09,0.02,22,0.03,0.02,5
326,"   HD23901",194,"thick",0.11,0.05,4,0.2,0.04,3,-0.06,0.05,1,-0.04,0.04,6,0.05,0.09,3,0.07,0.07,1,-0.12,0.01,3,-0.03,0.04,2,0.04,0.01,2,,,0,0.34,0.01,2,0.25,0.05,3,0.19,0.02,14,0.17,0.06,12,0.32,0.04,22,0.27,0.01,5
327,"  HD110557",146," thin",0.04,0.03,4,0.0,0.03,3,-0.01,0.08,1,-0.11,0.04,6,-0.08,0.09,3,-0.05,0.07,1,-0.13,0.08,3,0.01,0.04,2,0.04,0.03,2,,,0,0.07,0.01,2,0.01,0.02,3,0.03,0.04,14,0.01,0.08,12,0.07,0.03,22,0.02,0.02,5
328,"  HD176354",504," high",0.25,0.06,4,0.05,0.06,3,-0.15,0.07,1,0.01,0.11,6,0.03,0.17,3,-0.11,0.15,1,-0.13,0.04,3,0.06,0.09,2,-0.11,0.09,2,0.04,0.06,1,0.11,0.03,2,0.06,0.03,3,0.07,0.06,14,-0.04,0.06,12,0.04,0.05,22,0.08,0.05,5
329,"  HD222335",332," thin",-0.01,0.03,4,-0.03,0.03,3,0.11,0.06,1,0.0,0.06,6,0.12,0.12,3,0.07,0.09,1,0.04,0.04,3,0.17,0.03,2,0.13,0.03,2,0.03,0.12,1,0.06,0.0,2,0.03,0.05,3,0.02,0.03,14,0.05,0.06,12,0.12,0.04,22,0.04,0.01,5
330," BD+062932",119," halo",-0.57,0.04,3,-0.03,0.06,3,-0.28,0.1,1,-0.11,0.1,6,,,0,0.34,0.1,1,0.04,0.11,3,0.0,0.08,2,0.09,0.05,2,0.49,0.32,1,-0.01,0.23,2,-0.01,0.05,3,0.06,0.05,14,0.16,0.06,12,0.11,0.05,22,0.09,0.01,5
331,"   HD18822",73," thin",-0.11,0.04,4,-0.01,0.06,3,0.17,0.12,1,0.11,0.04,6,0.18,0.09,3,0.15,0.08,1,0.22,0.05,3,0.26,0.08,2,0.07,0.08,2,,,0,-0.03,0.03,2,-0.02,0.03,3,0.0,0.05,13,0.09,0.12,12,0.05,0.03,22,0.0,0.03,5
332,"   HD24558",175," thin",0.01,0.05,4,0.03,0.06,3,-0.12,0.06,1,-0.15,0.07,6,0.17,0.12,3,0.04,0.07,1,-0.07,0.05,3,0.01,0.03,2,0.17,0.09,2,,,0,0.16,0.01,2,0.11,0.06,3,0.08,0.03,14,0.11,0.06,12,0.16,0.03,22,0.1,0.02,5
333,"   HD33725",333," thin",0.01,0.05,4,0.03,0.04,3,0.06,0.06,1,-0.05,0.06,6,0.06,0.11,3,-0.01,0.13,1,-0.04,0.04,3,0.05,0.06,2,0.08,0.04,2,0.08,0.12,1,0.07,0.01,2,0.04,0.02,3,0.04,0.02,14,0.06,0.06,12,0.09,0.05,22,0.0,0.01,5
334,"   HD24633",356," high",0.05,0.07,4,0.04,0.03,3,0.17,0.08,1,-0.01,0.17,6,0.18,0.12,3,-0.01,0.16,1,-0.02,0.04,3,0.12,0.14,2,0.14,0.04,2,0.09,0.1,1,0.2,0.02,2,0.13,0.14,3,0.03,0.05,14,0.08,0.06,12,0.21,0.05,22,0.1,0.05,5
335,"   HD16536",67," thin",0.05,0.04,4,0.06,0.04,3,0.07,0.14,1,-0.04,0.06,6,-0.04,0.08,3,0.19,0.08,1,0.01,0.03,3,0.04,0.06,2,0.05,0.03,2,,,0,0.07,0.0,2,0.0,0.02,3,-0.01,0.05,14,0.04,0.06,12,0.09,0.05,22,0.0,0.03,5
336,"   HD8389A",276," high",0.25,0.06,4,0.0,0.07,3,-0.05,0.14,1,-0.1,0.13,6,0.1,0.15,3,-0.05,0.11,1,-0.23,0.11,3,0.14,0.07,2,-0.07,0.12,2,-0.09,0.11,1,0.19,0.1,2,0.03,0.03,3,0.09,0.08,14,-0.05,0.06,12,0.07,0.07,22,0.06,0.07,5
337,"   HD66340",293," thin",0.08,0.03,4,-0.04,0.04,3,0.08,0.07,1,-0.08,0.05,6,-0.01,0.13,3,-0.03,0.11,1,-0.09,0.04,3,0.03,0.06,2,-0.03,0.06,2,0.05,0.11,1,0.09,0.03,2,0.01,0.01,3,0.03,0.05,14,0.01,0.05,12,0.08,0.03,22,-0.03,0.02,5
338,"    HD1171",59," thin",-0.01,0.06,4,0.12,0.08,3,-0.17,0.14,1,-0.21,0.08,6,0.26,0.19,2,-0.11,0.2,1,-0.05,0.04,3,-0.03,0.03,2,,,0,,,0,0.07,0.0,2,0.12,0.06,3,0.11,0.06,14,0.11,0.15,12,0.14,0.05,22,0.03,0.05,5
339,"  HIP32127",309,"thick",0.0,0.04,4,0.12,0.04,3,-0.04,0.05,1,-0.09,0.08,6,0.21,0.14,2,0.18,0.08,4,-0.1,0.03,3,0.06,0.09,4,0.12,0.06,2,0.25,0.14,1,0.31,0.01,2,0.28,0.06,3,0.19,0.04,14,0.22,0.08,12,0.32,0.06,22,0.21,0.04,5
340,"   HD10700",2034,"thick",0.06,0.05,4,0.17,0.03,3,-0.02,0.03,1,-0.08,0.05,6,0.08,0.1,2,0.16,0.04,4,-0.07,0.02,3,0.09,0.08,4,0.13,0.03,2,0.29,0.02,1,0.24,0.01,2,0.22,0.06,3,0.16,0.01,14,0.15,0.07,12,0.26,0.03,22,0.19,0.02,5
341,"   HD89147",111," thin",-0.03,0.03,4,-0.03,0.04,3,0.14,0.1,1,0.07,0.05,6,0.04,0.17,3,0.18,0.06,4,0.1,0.04,3,0.17,0.03,4,0.1,0.03,2,,,0,0.05,0.02,2,0.02,0.03,3,0.01,0.04,14,0.02,0.07,12,0.08,0.03,22,0.0,0.02,5
342,"   HD75530",332,"thick",0.04,0.03,4,0.13,0.03,3,-0.02,0.05,1,-0.09,0.05,6,0.04,0.22,2,0.14,0.08,4,-0.13,0.03,3,0.01,0.11,2,0.12,0.09,2,0.35,0.12,1,0.29,0.01,2,0.25,0.06,3,0.17,0.03,14,0.24,0.06,12,0.33,0.04,22,0.27,0.01,5
343," CD-452997",93,"thick",-0.12,0.03,3,0.24,0.09,2,0.09,0.13,1,0.11,0.2,5,,,0,0.44,0.04,2,-0.04,0.04,3,,,0,0.76,0.23,2,,,0,0.34,0.1,2,0.38,0.11,3,0.33,0.15,14,0.45,0.14,12,0.64,0.22,22,0.31,0.25,5
344,"   HD10002",143," thin",0.16,0.04,4,0.0,0.07,3,-0.02,0.13,1,-0.14,0.06,6,-0.02,0.13,3,0.06,0.08,4,-0.13,0.05,3,0.18,0.07,4,0.02,0.09,2,,,0,0.11,0.02,2,0.01,0.01,3,0.02,0.04,14,0.0,0.05,12,0.11,0.03,22,0.05,0.04,5
345,"   HD14452",89," high",-0.04,0.03,3,-0.06,0.08,3,0.11,0.11,1,0.08,0.1,6,0.19,0.09,3,0.19,0.06,4,0.11,0.02,3,0.2,0.04,4,0.17,0.05,2,,,0,0.27,0.01,2,0.13,0.06,3,-0.06,0.05,14,0.37,0.1,12,0.52,0.05,22,-0.06,0.06,5
346,"   HD38355",101," thin",0.1,0.04,4,0.01,0.06,3,0.06,0.11,1,-0.09,0.06,6,-0.01,0.13,3,0.04,0.04,4,-0.12,0.08,3,0.0,0.08,4,-0.05,0.12,2,,,0,0.08,0.02,2,-0.01,0.01,3,0.05,0.08,14,-0.04,0.1,12,0.05,0.02,22,-0.03,0.04,5
347,"   HD25105",293," thin",-0.03,0.05,4,0.01,0.04,3,0.12,0.06,1,0.02,0.05,6,0.06,0.11,3,0.15,0.04,4,0.04,0.03,3,0.14,0.04,4,0.08,0.04,2,0.07,0.13,1,0.02,0.01,2,0.0,0.03,3,0.01,0.03,14,0.07,0.1,12,0.07,0.03,22,0.0,0.01,5
348,"   HD56380",311,"thick",0.08,0.02,4,0.18,0.04,3,-0.03,0.04,1,-0.09,0.04,6,0.05,0.13,2,0.08,0.06,4,-0.11,0.04,3,0.0,0.05,4,0.07,0.03,2,0.19,0.12,1,0.28,0.0,2,0.23,0.05,3,0.16,0.03,14,0.17,0.1,12,0.26,0.03,22,0.19,0.03,5
349,"   HD82783",236," high",0.22,0.05,4,0.12,0.1,3,0.02,0.13,1,-0.09,0.09,6,0.08,0.13,3,0.0,0.08,4,-0.24,0.04,3,0.12,0.09,4,-0.08,0.14,2,-0.14,0.12,1,0.16,0.05,2,0.09,0.11,3,0.08,0.08,14,-0.04,0.08,12,0.11,0.04,22,0.02,0.05,5
350,"  HD221580",649," halo",-0.51,0.05,3,-0.04,0.04,3,-0.04,0.03,1,-0.08,0.14,6,,,0,0.28,0.05,4,-0.02,0.04,3,0.1,0.19,4,0.31,0.02,2,0.56,0.04,1,0.09,,1,0.25,0.04,3,0.25,0.02,13,0.28,0.05,11,0.21,0.06,17,0.28,0.05,5
351,"   HD98356",243," thin",0.08,0.04,4,0.03,0.06,3,0.08,0.07,1,-0.06,0.05,6,0.06,0.09,3,0.04,0.05,4,-0.11,0.04,3,0.05,0.07,4,-0.07,0.09,2,0.07,0.16,1,0.03,0.0,2,-0.03,0.01,3,0.03,0.04,14,-0.01,0.09,12,0.04,0.03,22,-0.05,0.02,5
352,"  HD131653",186,"thick",-0.01,0.03,4,0.16,0.03,3,0.16,0.06,1,0.05,0.05,6,0.19,0.08,1,0.3,0.03,4,-0.08,0.03,3,0.02,0.1,4,0.12,0.04,2,,,0,0.33,0.02,2,0.28,0.08,3,0.24,0.03,14,0.28,0.07,12,0.39,0.05,22,0.3,0.05,5
353,"  HD168870",213," thin",0.03,0.03,4,-0.02,0.04,3,-0.05,0.05,1,-0.09,0.06,6,-0.09,0.16,2,0.05,0.05,4,-0.06,0.03,3,0.05,0.05,4,0.06,0.02,2,0.13,0.16,1,0.13,0.0,2,0.08,0.05,3,0.05,0.03,14,0.09,0.09,12,0.11,0.03,22,0.06,0.03,5
354,"   HD36179",103," thin",0.0,0.03,4,-0.07,0.02,3,0.14,0.09,1,0.0,0.08,6,0.04,0.12,3,0.17,0.08,4,0.09,0.04,3,0.16,0.07,4,0.09,0.05,2,,,0,-0.05,0.04,2,-0.03,0.02,3,-0.01,0.05,14,0.08,0.08,12,0.1,0.03,22,0.0,0.01,5
355,"  HD223282",237," thin",-0.03,0.02,4,0.06,0.06,3,0.06,0.05,1,0.04,0.05,6,0.08,0.1,2,0.14,0.03,4,0.12,0.02,3,0.16,0.04,4,0.15,0.03,2,0.1,0.18,1,0.07,0.01,2,0.07,0.04,3,0.05,0.02,14,0.06,0.07,12,0.11,0.03,22,0.04,0.04,5
356," HD134929B",141," thin",0.12,0.05,4,0.04,0.03,3,0.04,0.09,1,-0.1,0.04,6,-0.03,0.17,3,0.01,0.09,4,-0.13,0.05,3,0.04,0.07,4,-0.03,0.06,2,,,0,0.09,0.02,2,0.01,0.03,3,0.03,0.04,14,0.03,0.09,12,0.06,0.02,22,-0.02,0.03,5
