recno,Star,S/N,pop,[CuI/Fe],e_[CuI/Fe],o_[CuI/Fe],[ZnI/Fe],e_[ZnI/Fe],o_[ZnI/Fe],[SrI/Fe],e_[SrI/Fe],o_[SrI/Fe],[YII/Fe],e_[YII/Fe],o_[YII/Fe],[ZrI/Fe],e_[ZrI/Fe],o_[ZrI/Fe],[ZrII/Fe],e_[ZrII/Fe],o_[ZrII/Fe],[BaII/Fe],e_[BaII/Fe],o_[BaII/Fe],[CeII/Fe],e_[CeII/Fe],o_[CeII/Fe],[NdII/Fe],e_[NdII/Fe],o_[NdII/Fe],[EuII/Fe],e_[EuII/Fe],o_[EuII/Fe],[AlI/Fe],e_[AlI/Fe],o_[AlI/Fe],[MgI/Fe],e_[MgI/Fe],o_[MgI/Fe],[SiI/Fe],e_[SiI/Fe],o_[SiI/Fe],[CaI/Fe],e_[CaI/Fe],o_[CaI/Fe],[TiI/Fe],e_[TiI/Fe],o_[TiI/Fe],[TiII/Fe],e_[TiII/Fe],o_[TiII/Fe]
931,"  HD108063",221," thin",0.11,0.05,4,0.04,0.05,3,-0.15,0.07,1,-0.09,0.12,6,0.24,0.14,2,-0.13,0.05,4,-0.2,0.06,3,-0.12,0.05,4,-0.18,0.05,4,-0.06,0.11,1,0.04,0.02,2,0.01,0.01,3,0.05,0.06,14,-0.07,0.05,12,-0.02,0.03,22,0.0,0.04,5
932,"  HD123517",209," thin",-0.11,0.08,4,-0.09,0.03,3,0.02,0.06,1,-0.06,0.06,6,,,0,0.01,0.07,4,-0.02,0.02,3,-0.05,0.1,4,-0.07,0.05,4,-0.06,0.14,1,-0.14,0.08,2,0.0,0.07,3,0.03,0.1,14,0.02,0.05,12,0.01,0.06,22,-0.02,0.02,5
933,"   HD38382",290," thin",-0.08,0.05,4,-0.12,0.03,3,0.01,0.04,1,-0.03,0.03,6,,,0,-0.06,0.05,4,0.0,0.01,3,-0.06,0.03,4,-0.06,0.03,4,-0.02,0.12,1,-0.06,0.0,2,0.02,0.04,3,-0.02,0.02,14,0.04,0.05,12,-0.01,0.03,22,-0.05,0.01,5
934,"    HD6735",550," thin",-0.09,0.05,4,-0.08,0.01,3,0.04,0.02,1,0.03,0.04,6,,,0,-0.03,0.06,4,0.1,0.01,3,0.04,0.09,4,-0.01,0.03,4,-0.01,0.07,1,-0.07,0.01,2,0.02,0.01,3,0.02,0.01,14,0.07,0.05,12,0.01,0.03,22,-0.02,0.01,5
935,"   HD90422",291," thin",-0.08,0.05,3,-0.05,0.05,3,0.0,0.06,1,-0.13,0.07,6,,,0,-0.05,0.04,4,-0.08,0.03,3,0.04,0.06,3,-0.02,0.05,4,,,0,0.04,,1,0.13,0.1,3,0.11,0.04,14,0.11,0.05,11,0.12,0.06,16,0.12,0.04,5
936,"     HD457",221," thin",0.12,0.03,4,0.05,0.08,3,-0.12,0.05,1,-0.12,0.06,6,0.23,0.1,1,-0.17,0.03,4,-0.2,0.03,3,-0.18,0.04,4,-0.23,0.04,4,,,0,0.0,0.01,2,-0.02,0.01,3,0.02,0.02,14,-0.03,0.04,12,-0.02,0.02,22,-0.06,0.01,5
937,"  HD162396",1017," thin",0.01,0.07,4,-0.04,0.04,3,0.09,0.02,1,-0.04,0.05,6,,,0,0.0,0.04,4,0.02,0.03,3,-0.02,0.06,4,-0.01,0.05,4,0.07,0.06,1,-0.02,0.01,2,0.11,0.03,3,0.08,0.02,14,0.09,0.04,12,0.08,0.02,19,0.08,0.03,5
938,"   HD73121",597," thin",-0.01,0.04,4,-0.05,0.03,3,-0.02,0.02,1,-0.02,0.05,6,,,0,-0.08,0.06,4,-0.04,0.05,3,-0.04,0.04,4,-0.08,0.03,4,0.02,0.05,1,0.02,0.01,2,0.02,0.01,3,0.02,0.02,14,0.03,0.05,12,0.01,0.02,22,0.0,0.01,5
939,"  HD224347",308," thin",-0.07,0.07,4,-0.05,0.02,3,-0.06,0.04,1,-0.16,0.04,6,,,0,-0.08,0.09,4,-0.04,0.04,3,-0.07,0.03,2,-0.07,0.03,4,0.04,0.19,1,-0.04,0.04,2,0.12,0.06,3,0.08,0.03,14,0.08,0.05,11,0.09,0.04,20,0.03,0.02,5
940,"   HD31128",574,"thick",-0.53,0.07,3,0.06,0.12,3,0.13,0.12,1,0.0,0.09,5,,,0,0.37,0.05,3,-0.12,0.07,3,0.08,0.08,1,,,0,,,0,,,0,0.25,0.04,2,0.22,0.02,7,0.31,0.06,9,0.35,0.04,8,0.33,0.05,5
