recno,Star,Teff,e_Teff,logg,e_logg,loggHIP,e_loggHIP,[Fe/H],e_[Fe/H],vtur,e_vtur,loggcor,SimbadName,_RA,_DE
198,"HD145417",4953,48.4,4.81,0.08,4.66,0.02,-1.26,0.03,0.55,0.21,4.99,"HD145417",243.45233,-57.57051
232,"HD144628",5022,26.0,4.43,0.08,4.55,0.02,-0.45,0.02,0.43,0.09,4.58,"HD144628",242.42831,-56.44515
233,"HD108341",5024,172.0,4.27,0.36,4.47,0.08,0.02,0.09,0.42,0.56,4.42,"HD108341",186.88081,-71.42298
608,"HD115585",5711,29.0,4.27,0.05,4.22,0.04,0.35,0.02,1.14,0.03,4.25,"HD115585",199.96079,-70.85502
302,"HD116284",5213,26.0,3.87,0.04,3.81,0.04,-0.01,0.02,0.83,0.03,3.97,"HD116284",201.16271,-70.43022
317,"HD117359",5246,37.0,4.43,0.06,4.43,0.12,-0.13,0.02,0.68,0.07,4.52,"HD117359",202.93509,-67.41668
971,"HD128571",6159,47.0,4.4,0.02,4.25,0.06,-0.37,0.03,1.23,0.07,4.26,"HD128571",220.16296,-65.41834
908,"HD125881",6036,17.0,4.49,0.03,4.45,0.04,0.06,0.01,1.1,0.02,4.38,"HD125881",216.19157,-63.70657
796,"HD126793",5904,33.0,4.43,0.03,4.29,0.08,-0.71,0.02,1.22,0.06,4.36,"HD126793",217.55274,-62.86235
433,"HD111232",5460,21.0,4.43,0.03,4.39,0.03,-0.43,0.02,0.62,0.04,4.47,"HD111232",192.21564,-68.42515
213,"HD106275",4978,53.0,4.33,0.11,4.51,0.04,-0.13,0.03,0.59,0.13,4.5,"HD106275",183.46606,-69.06045
248,"HD109200",5056,33.0,4.37,0.08,4.51,0.02,-0.35,0.02,0.56,0.08,4.51,"HD109200",188.38076,-68.75581
529,"HD120344",5623,20.0,4.42,0.03,4.43,0.11,-0.19,0.01,0.65,0.03,4.42,"HD120344",207.7015,-62.90521
132,"HD125072",4794,102.0,4.27,0.24,4.5,0.04,0.24,0.08,0.53,0.41,4.5,"HD125072",214.77014,-59.37904
282,"HD119782",5120,37.0,4.41,0.08,4.5,0.06,-0.07,0.02,0.6,0.09,4.53,"HD119782",206.67514,-56.85008
