recno,Star,Teff,logg,[Fe/H],Age,e_Age,vsini,vmac,[S/Fe],e_[S/Fe],o_[S/Fe],Planet,Pop,S/N,SimbadName,_RA,_DE
489,"HD68284",5933.0,4.0,-0.5,5.67,0.149,2.741,4.502,0.019,0.05,"2","none","thin ",371.61,"HD68284",122.95661,4.27454
618,"HD52265",6136.0,4.23,0.21,2.087,0.895,3.912,4.724,-0.005,0.027,"2","jup ","thin ",290.23,"HD52265",105.07515,-5.36716
417,"HD51754",5848.0,4.43,-0.55,12.337,0.925,1.384,3.406,0.121,0.047,"2","none","thick",462.19,"HD51754",104.66058,-0.48047
385,"HD44420",5818.0,4.32,0.29,2.87,1.726,1.535,3.549,-0.006,0.028,"2","none","thin ",521.52,"HD44420",95.4314,-0.53913
712,"HD28807",6602.0,4.34,0.06,1.074,0.591,4.158,5.5,-0.07,0.052,"2","none","thin ",86.08,"HD28807",67.98745,-12.63264
251,"HD28185",5667.0,4.41,0.21,3.6,2.572,2.054,3.038,0.001,0.034,"2","jup ","thin ",585.84,"HD28185",66.60968,-10.55082
384,"HD32724",5818.0,4.21,-0.17,9.566,0.724,1.381,3.769,-0.008,0.026,"2","none","thin ",487.92,"HD32724",76.19818,-11.69903
68,"HD33725",5274.0,4.5,-0.17,6.548,4.723,0.574,2.424,-0.003,0.077,"2","none","thin ",333.6,"HD33725",77.97604,-9.11316
576,"HD31822",6042.0,4.46,-0.19,2.257,1.794,3.085,3.928,-0.022,0.03,"2","none","thin ",424.55,"HD31822",74.64903,-9.3343
36,"HD26965A",5098.0,4.48,-0.36,10.875,2.242,0.369,2.47,0.107,0.198,"2","none","thick",2016.59,"HD26965",63.818,-7.65287
667,"HD28969",6255.0,4.5,-0.01,0.986,0.843,4.838,4.661,-0.081,0.053,"2","none","thin ",112.71,"HD28969",68.37025,-7.83861
243,"HD28821",5660.0,4.37,-0.12,10.25,2.119,0.763,3.105,0.03,0.027,"2","none","thin ",491.5,"HD28821",68.08947,-5.039
557,"HD26887",6016.0,4.36,-0.35,7.991,1.713,2.612,4.041,0.041,0.039,"2","none","thin ",119.87,"HD26887",63.71678,-5.39649
